"","Latitude","Longitude","Country","Count","GS","GSper","Custper","Ratio"
"169",43.648256,6.061246,"FR",1,446.8139,0.02,0.04,0.39
"170",43.648626,1.322429,"FR",3,1122.0312,0.04,0.12,0.33
"171",43.651828,5.439583,"FR",1,217.2293,0.01,0.04,0.19
"172",43.654247,1.483948,"FR",2,614.0655,0.02,0.08,0.27
"173",43.655639,6.931905,"FR",3,8380.6815,0.29,0.12,2.46
"174",43.65608,0.962548,"FR",1,620.5224,0.02,0.04,0.55
"175",43.659391,1.203892,"FR",1,729.913,0.03,0.04,0.64
"176",43.661045,3.96283,"FR",1,434.4586,0.02,0.04,0.38
"177",43.661521,5.251914,"FR",4,2859.2461,0.1,0.16,0.63
"178",43.662019,3.886897,"FR",3,2082.0865,0.07,0.12,0.61
"179",43.664878,5.352182,"FR",2,698.1879,0.02,0.08,0.31
"180",43.665634,6.97914,"FR",1,2172.0459,0.08,0.04,1.91
"181",43.666594,4.03794,"FR",2,1055.2299,0.04,0.08,0.46
"182",43.670076,1.45516,"FR",3,6120.2944,0.21,0.12,1.79
"183",43.671516,7.152757,"FR",1,186.1874,0.01,0.04,0.16
"184",43.67178,4.203751,"FR",1,207.8551,0.01,0.04,0.18
"185",43.672465,3.779494,"FR",1,453.5188,0.02,0.04,0.4
"186",43.672834,-0.345658,"FR",1,242.0006,0.01,0.04,0.21
"187",43.682048,4.135664,"FR",1,552.2916,0.02,0.04,0.49
"188",43.683603,1.32887,"FR",1,558.6256,0.02,0.04,0.49
"189",43.684139,5.188255,"FR",1,55.5643,0,0.04,0.05
"190",43.684515,1.53745,"FR",1,1411.7116,0.05,0.04,1.24
"191",43.685962,7.182187,"FR",1,3629.5109,0.13,0.04,3.19
"192",43.687178,7.329936,"FR",1,963.3469,0.03,0.04,0.85
"193",43.700072,4.944966,"FR",1,604.9392,0.02,0.04,0.53
"194",43.700355,-1.141958,"FR",1,496.1684,0.02,0.04,0.44
"195",43.700674,-1.060144,"FR",2,3435.9375,0.12,0.08,1.51
"196",43.702556,5.015577,"FR",1,1147.8572,0.04,0.04,1.01
"197",43.707419,5.15105,"FR",1,1440.0217,0.05,0.04,1.27
"198",43.707515,5.430854,"FR",1,1910.1794,0.07,0.04,1.68
"199",43.707903,7.332569,"FR",1,993.2086,0.03,0.04,0.87
"200",43.711999,7.238268,"FR",13,8626.0996,0.3,0.51,0.58
"201",43.743825,5.988916,"FR",1,248.2086,0.01,0.04,0.22
"202",43.744606,5.086878,"FR",1,152.0418,0.01,0.04,0.13
"203",43.745808,4.802181,"FR",1,1046.9715,0.04,0.04,0.92
"204",43.745876,7.288713,"FR",1,217.2293,0.01,0.04,0.19
"205",43.750875,3.355959,"FR",2,1272.3967,0.04,0.08,0.56
"206",43.752364,4.07621,"FR",1,1073.7923,0.04,0.04,0.94
"207",43.76069,5.745904,"FR",1,279.2506,0.01,0.04,0.25
"208",43.763827,7.458736,"FR",1,1793.1504,0.06,0.04,1.58
"209",43.771336,4.283429,"FR",1,1954.3815,0.07,0.04,1.72
"210",43.780153,1.896845,"FR",2,1475.781,0.05,0.08,0.65
"211",43.784942,4.735664,"FR",1,558.6256,0.02,0.04,0.49
"212",43.785354,1.948376,"FR",1,2618.5485,0.09,0.04,2.3
"213",43.786073,7.272556,"FR",1,2843.2277,0.1,0.04,2.5
"214",43.79211,7.227741,"FR",1,186.25,0.01,0.04,0.16
"215",43.793988,4.686148,"FR",1,1478.6365,0.05,0.04,1.3
"216",43.796995,1.586182,"FR",1,2345.6294,0.08,0.04,2.06
"217",43.797848,1.731584,"FR",1,4495.3239,0.16,0.04,3.95
"218",43.798488,-1.296322,"FR",1,322.7087,0.01,0.04,0.28
"219",43.804511,4.255336,"FR",1,506.5993,0.02,0.04,0.45
"220",43.806505,5.722738,"FR",1,6982.1982,0.24,0.04,6.14
"221",43.822056,7.498915,"FR",1,590.7843,0.02,0.04,0.52
"222",43.828122,3.173915,"FR",1,4301.1914,0.15,0.04,3.78
"223",43.84178,5.137679,"FR",1,496.5426,0.02,0.04,0.44
"224",43.844938,4.348067,"FR",5,1502.0438,0.05,0.2,0.26
"225",43.850836,5.036063,"FR",2,806.6489,0.03,0.08,0.35
"226",43.851967,5.110086,"FR",2,7433.9113,0.26,0.08,3.27
"227",43.885878,6.032575,"FR",1,868.9174,0.03,0.04,0.76
"228",43.88781,1.929671,"FR",1,1160.5858,0.04,0.04,1.02
"229",43.887996,2.104363,"FR",1,516.2842,0.02,0.04,0.45
"230",43.891358,4.95633,"FR",1,248.2713,0.01,0.04,0.22
"231",43.892487,5.114586,"FR",3,1565.1184,0.05,0.12,0.46
"232",43.893243,5.776452,"FR",2,1815.6873,0.06,0.08,0.8
"233",43.895705,5.857321,"FR",1,1595.0437,0.06,0.04,1.4
"234",43.896065,5.343623,"FR",1,198.4181,0.01,0.04,0.17
"235",43.899361,-0.490722,"FR",2,868.9173,0.03,0.08,0.38
"236",43.907873,4.466814,"FR",1,242.125,0.01,0.04,0.21
"237",43.919242,3.801872,"FR",1,260.5011,0.01,0.04,0.23
"238",43.925821,2.146863,"FR",2,1986.0449,0.07,0.08,0.87
"239",43.935244,4.840715,"FR",5,3885.2331,0.13,0.2,0.68
"240",43.94668,4.752552,"FR",2,2271.1919,0.08,0.08,1
"241",43.954494,1.316111,"FR",1,2212.0883,0.08,0.04,1.95
"242",43.955422,2.758419,"FR",1,1148.2305,0.04,0.04,1.01
"243",43.964764,5.243694,"FR",1,436.9426,0.02,0.04,0.38
"244",43.96839,4.865495,"FR",2,1668.427,0.06,0.08,0.73
"245",43.974026,5.131297,"FR",1,310.2926,0.01,0.04,0.27
"246",43.981168,4.681557,"FR",1,1219.7506,0.04,0.04,1.07
"247",43.994476,5.966017,"FR",1,657.2122,0.02,0.04,0.58
"248",43.995017,4.932953,"FR",1,248.2713,0.01,0.04,0.22
"249",43.999693,4.363863,"FR",1,4056.3986,0.14,0.04,3.57
"250",44.010915,0.549268,"FR",1,2360.097,0.08,0.04,2.08
"251",44.037933,6.2688,"FR",1,943.4174,0.03,0.04,0.83
"252",44.042981,1.220973,"FR",1,2016.6526,0.07,0.04,1.77
"253",44.05938,5.061348,"FR",2,602.0837,0.02,0.08,0.26
"254",44.069674,4.157905,"FR",1,434.5213,0.02,0.04,0.38
"255",44.074715,3.954416,"FR",1,496.6043,0.02,0.04,0.44
"256",44.092075,4.123818,"FR",1,775.5443,0.03,0.04,0.68
"257",44.094907,5.144364,"FR",3,2184.8981,0.08,0.12,0.64
"258",44.097738,5.031656,"FR",1,124.1043,0,0.04,0.11
"259",44.125009,4.088285,"FR",3,1778.8723,0.06,0.12,0.52
"260",44.128913,4.809879,"FR",1,3679.6147,0.13,0.04,3.24
"261",44.137827,0.568271,"FR",1,217.2293,0.01,0.04,0.19
"262",44.165317,0.699221,"FR",1,797.5217,0.03,0.04,0.7
"263",44.165385,4.496326,"FR",1,4126.9237,0.14,0.04,3.63
"264",44.195653,6.022241,"FR",1,233.1224,0.01,0.04,0.21
"265",44.202813,0.625583,"FR",2,1412.5796,0.05,0.08,0.62
"266",44.208908,3.53134,"FR",1,367.2852,0.01,0.04,0.32
"267",44.211747,-1.189463,"FR",3,783.4278,0.03,0.12,0.23
"268",44.22211,0.977222,"FR",1,2060.6685,0.07,0.04,1.81
"269",44.225648,4.532047,"FR",1,633.0012,0.02,0.04,0.56
"270",44.23552,0.675831,"FR",1,973.5883,0.03,0.04,0.86
"271",44.252663,4.639019,"FR",1,1325.0439,0.05,0.04,1.17
"272",44.25334,0.636982,"FR",1,1818.4208,0.06,0.04,1.6
"273",44.292281,1.763436,"FR",1,976.6316,0.03,0.04,0.86
"274",44.298616,5.124259,"FR",1,217.2293,0.01,0.04,0.19
"275",44.299488,0.608669,"FR",1,434.4586,0.02,0.04,0.38
"276",44.338623,2.143411,"FR",3,2298.3855,0.08,0.12,0.67
"277",44.355813,4.903864,"FR",1,335.1248,0.01,0.04,0.29
"278",44.371064,0.385791,"FR",1,426.9469,0.01,0.04,0.38
"279",44.383086,4.613983,"FR",1,910.6976,0.03,0.04,0.8
"280",44.394981,2.721278,"FR",1,1241.5426,0.04,0.04,1.09
"281",44.396651,1.642897,"FR",1,775.2335,0.03,0.04,0.68
"282",44.39814,3.966973,"FR",1,7312.9141,0.25,0.04,6.43
"283",44.40908,-1.177361,"FR",1,248.2713,0.01,0.04,0.22
"284",44.450737,1.440758,"FR",2,660.4426,0.02,0.08,0.29
"285",44.47117,1.355418,"FR",1,124.1043,0,0.04,0.11
"286",44.479912,2.396604,"FR",1,595.813,0.02,0.04,0.52
"287",44.481163,6.072584,"FR",1,1905.336,0.07,0.04,1.68
"288",44.486191,-0.786911,"FR",1,210.9586,0.01,0.04,0.19
"289",44.487165,1.470657,"FR",2,620.7087,0.02,0.08,0.27
"290",44.494117,1.838593,"FR",1,788.2719,0.03,0.04,0.69
"291",44.495841,6.025507,"FR",1,559.7432,0.02,0.04,0.49
"292",44.516765,1.329944,"FR",1,1115.449,0.04,0.04,0.98
"293",44.518912,1.977192,"FR",1,1607.336,0.06,0.04,1.41
"294",44.539285,0.048857,"FR",1,651.6262,0.02,0.04,0.57
"295",44.541458,-0.883819,"FR",1,2203.4596,0.08,0.04,1.94
"296",44.547685,2.325054,"FR",1,285.2106,0.01,0.04,0.25
"297",44.551947,-0.518935,"FR",2,1828.3523,0.06,0.08,0.8
"298",44.556182,-1.175308,"FR",1,310.3543,0.01,0.04,0.27
"299",44.557497,3.329498,"FR",1,1029.8374,0.04,0.04,0.91
"300",44.558584,0.005713,"FR",1,347.6043,0.01,0.04,0.31
"301",44.572547,4.246333,"FR",1,620.7713,0.02,0.04,0.55
"302",44.579803,4.720355,"FR",2,1039.5223,0.04,0.08,0.46
"303",44.582132,-0.216934,"FR",1,636.044,0.02,0.04,0.56
"304",44.592748,0.184135,"FR",1,477.6687,0.02,0.04,0.42
"305",44.605429,2.880731,"FR",1,217.2293,0.01,0.04,0.19
"306",44.610212,4.396389,"FR",2,2555.843,0.09,0.08,1.12
"307",44.61907,6.229621,"FR",1,558.1913,0.02,0.04,0.49
"308",44.624904,1.024596,"FR",1,695.2713,0.02,0.04,0.61
"309",44.640273,4.883113,"FR",1,1340.8122,0.05,0.04,1.18
"310",44.687998,4.295186,"FR",1,248.2713,0.01,0.04,0.22
"311",44.703005,-0.856342,"FR",1,268.0756,0.01,0.04,0.24
"312",44.716585,-0.327839,"FR",1,397.2086,0.01,0.04,0.35
"313",44.726604,-0.473681,"FR",1,422.1043,0.01,0.04,0.37
"314",44.731358,3.052088,"FR",1,434.4586,0.02,0.04,0.38
"315",44.760775,0.033658,"FR",1,124.1043,0,0.04,0.11
"316",44.770941,-0.616137,"FR",3,3101.9918,0.11,0.12,0.91
"317",44.773185,-0.558212,"FR",2,1784.7698,0.06,0.08,0.78
"318",44.777501,3.640685,"FR",1,387.7717,0.01,0.04,0.34
"319",44.787418,4.838993,"FR",1,248.2713,0.01,0.04,0.22
"320",44.791599,-0.676303,"FR",7,10048.3014,0.35,0.28,1.26
"321",44.791832,4.909393,"FR",1,228.4043,0.01,0.04,0.2
"322",44.793401,-0.819193,"FR",2,3112.9161,0.11,0.08,1.37
"323",44.8016,-0.547755,"FR",4,5033.8987,0.17,0.16,1.11
"324",44.806081,-0.591124,"FR",3,1610.9344,0.06,0.12,0.47
"325",44.819305,-0.410997,"FR",1,325.8749,0.01,0.04,0.29
"326",44.829499,4.797153,"FR",1,3267.9881,0.11,0.04,2.87
"327",44.832295,-0.681733,"FR",3,695.146,0.02,0.12,0.2
"328",44.839568,6.650482,"FR",1,1582.5647,0.05,0.04,1.39
"329",44.854375,0.486529,"FR",1,471.7086,0.02,0.04,0.41
"330",44.854832,-0.521018,"FR",1,868.9799,0.03,0.04,0.76
"331",44.855773,0.741585,"FR",1,3860.1527,0.13,0.04,3.4
"332",44.857244,-0.573696,"FR",12,10902.6939,0.38,0.47,0.8
"333",44.874068,1.635557,"FR",2,484.1256,0.02,0.08,0.21
"334",44.879715,-0.647899,"FR",1,263.7301,0.01,0.04,0.23
"335",44.883262,-0.784239,"FR",2,4481.172,0.16,0.08,1.97
"336",44.908414,-0.525868,"FR",1,385.4749,0.01,0.04,0.34
"337",44.912193,-1.005294,"FR",1,4148.7776,0.14,0.04,3.65
"338",44.922981,4.91444,"FR",3,1558.7241,0.05,0.12,0.46
"339",44.924523,2.441624,"FR",2,3117.0761,0.11,0.08,1.37
"340",44.930131,4.866296,"FR",1,632.8767,0.02,0.04,0.56
"341",44.934647,6.60139,"FR",1,254.4793,0.01,0.04,0.22
"342",44.935251,5.304257,"FR",1,258.1426,0.01,0.04,0.23
"343",44.959619,4.6495,"FR",1,496.5426,0.02,0.04,0.44
"344",45.010645,-0.130179,"FR",3,3202.0049,0.11,0.12,0.94
"345",45.021801,-0.404998,"FR",5,2929.525,0.1,0.2,0.52
"346",45.035151,3.830285,"FR",1,415.8336,0.01,0.04,0.37
"347",45.038573,3.662384,"FR",1,527.5836,0.02,0.04,0.46
"348",45.053197,-0.784543,"FR",1,775.9176,0.03,0.04,0.68
